,borough,1995 Average Housing Price by Year,2021 Average Housing Price by Year,2021/1995 Ratio,2021-1995 Difference
0,Barking & Dagenham,51817.969390000006,317192.4084444444,6.121282099210495,265374.43905444443
1,Barnet,91792.5374325,536987.4346777777,5.85001188220397,445194.8972452777
2,Bexley,64291.532845,364494.94293333334,5.669408191154683,300203.41008833336
3,Brent,73029.84184000001,519883.93588888895,7.118787646122731,446854.09404888895
4,Bromley,81967.3167325,465127.33213333343,5.674546278625597,383160.01540083345
5,Camden,120367.43178333335,841007.5633777778,6.987002637820074,720640.1315944445
6,Croydon,68923.340845,388851.7020333333,5.641799965962362,319928.3611883333
7,Ealing,81218.6747925,509867.6321222222,6.277714250138259,428648.95732972224
8,Enfield,71984.2348875,423740.37243333337,5.886571873627228,351756.13754583336
9,Greenwich,63389.786578333325,405602.47370000003,6.398546131698687,342212.68712166674
10,Hackney,66024.476545,599128.1991888889,9.074334709500405,533103.7226438889
11,Hammersmith & Fulham,123238.00260833332,763579.1906444444,6.195971814564377,640341.1880361111
12,Haringey,80078.48925,591583.5386111111,7.387546195635942,511505.04936111113
13,Harrow,83519.48631916667,487304.3865444445,5.8346190574284496,403784.9002252778
14,Havering,68281.01273,389194.3346555556,5.699891069198492,320913.3219255556
15,Hillingdon,73755.75600833334,430818.7958222222,5.8411549028600005,357063.03981388884
16,Hounslow,72941.170845,428514.57580000005,5.874797056803401,355573.40495500003
17,Islington,95555.0693125,680285.8464111112,7.11930671293145,584730.7770986112
18,Kensington & Chelsea,192857.26063333335,1283384.2025555554,6.654580690096849,1090526.941922222
19,Kingston upon Thames,82838.98615666667,513070.3755555556,6.193585887026999,430231.389398889
20,Lambeth,68105.69131833332,530812.4926444445,7.79395205260262,462706.80132611113
21,Lewisham,58881.766014999994,434728.64743333333,7.3830775952369905,375846.88141833333
22,Merton,80500.7526475,548007.7997555556,6.807486659847698,467507.04710805556
23,Newham,54574.226405000016,380088.3002888889,6.96461178337593,325514.0738838889
24,Redbridge,72580.49057916667,457088.1244555556,6.297672016380075,384507.6338763889
25,Richmond upon Thames,109892.27400833333,703537.6067333334,6.402066142338477,593645.3327250001
26,Southwark,64260.053745000005,522960.10805555555,8.138183483798384,458700.05431055557
27,Sutton,70291.30463833334,398813.5983333333,5.673725937871417,328522.293695
28,Tower Hamlets,63652.44600999999,454065.5289555555,7.133512652195965,390413.0829455555
29,Waltham Forest,61279.98046333333,484978.72016666667,7.914146128960534,423698.73970333335
30,Wandsworth,88829.08307500002,602186.4606222223,6.779158804485072,513357.37754722225
31,Westminster,133689.2330333333,940164.3117888891,7.032460957828025,806475.0787555558
